aoi,year,ratio,perc_ice,perc_nonice,n_ice,n_nonice
campus_lagoon,2012,3.6:1,21.83,78.17,4012,14366
campus_lagoon,2014,4.6:1,17.93,82.07,2408,11024
campus_lagoon,2016,2.0:1,33.09,66.91,6709,13569
campus_lagoon,2018,6.6:1,13.2,86.8,7252,47693
campus_lagoon,2020,1.9:1,34.01,65.99,8760,17000
carpinteria,2012,3.8:1,20.67,79.33,3425,13143
carpinteria,2014,5.9:1,14.42,85.58,2215,13143
carpinteria,2016,5.2:1,16.1,83.9,2965,15448
carpinteria,2018,2.7:1,26.75,73.25,6372,17448
carpinteria,2020,1.7:1,37.62,62.38,10524,17448
gaviota,2012,3.6:1,21.72,78.28,2242,8079
gaviota,2014,9.8:1,9.23,90.77,880,8656
gaviota,2016,5.4:1,15.73,84.27,2053,11000
gaviota,2018,4.2:1,19.39,80.61,2886,12000
gaviota,2020,3.6:1,21.63,78.37,3312,12000
point_conception,2012,1.2:1,45.4,54.6,14510,17447
point_conception,2014,1.2:1,45.1,54.9,22926,27911
point_conception,2018,1.6:1,37.85,62.15,10693,17558
point_conception,2020,0.3:1,77.7,22.3,63398,18199
