x,y,pts_crs,naip_id,aoi,r,g,b,nir,ndvi,year,month,day_in_year,iceplant,r_avg13,r_entr13,g_avg13,g_entr13,b_avg13,b_entr13,nir_avg13,nir_entr13,ndvi_avg13,ndvi_entr13
-120.2309895282689,34.47202173599268,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,99,111,86,151,0.208,2020,5,143,0.0,125.31953,4.9608088,120.04734,4.493296,109.18343,4.5880895,130.84616,5.1430707,0.01775148,4.3328276
-120.22028739494093,34.47888949679868,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,112,115,92,165,0.1913357400722021,2020,5,143,0.0,112.84024,5.189259,115.54438,4.1844645,92.01183,4.7129464,159.50296,4.9068766,0.17159763,4.743557
-120.23416590660403,34.47120809648116,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,115,114,95,134,0.0763052208835341,2020,5,143,0.0,135.13017,5.531252,128.21301,4.9391294,113.74556,5.0477653,138.84024,5.087237,0.01183432,3.9261577
-120.23534651766931,34.47440451250331,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,126,131,100,156,0.1063829787234042,2020,5,143,0.0,123.15385,4.325254,126.15385,4.342409,93.59763,4.493142,153.05917,4.693632,0.10650887,3.950789
-120.22506498534428,34.47592266889865,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,123,115,102,146,0.0855018587360594,2020,5,143,0.0,114.51479,4.8932257,112.21893,4.484502,95.40237,4.368136,144.80473,5.283693,0.112426035,4.5242143
-120.23410559968984,34.47605635353745,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,99,102,73,180,0.2903225806451613,2020,5,143,0.0,102.89941,4.915838,96.68047,4.1877403,73.88166,4.260995,175.68639,3.6703978,0.26035503,4.1622972
-120.23377198283768,34.47553360612286,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,103,105,80,169,0.2426470588235294,2020,5,143,0.0,105.06509,5.325772,100.97041,5.1847167,83.59171,5.0623436,154.52663,5.2305956,0.18934911,4.8004775
-120.20432695716906,34.47629761134778,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,120,117,96,162,0.1489361702127659,2020,5,143,0.0,147.42604,5.547042,147.94675,5.515549,137.071,5.7993097,151.94083,4.9422135,0.02366864,5.0012493
-120.20451063003532,34.47628633318933,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,133,124,121,167,0.1133333333333333,2020,5,143,0.0,146.79881,5.6428976,143.84024,5.7125816,139.95857,5.738957,148.73964,5.147898,0.01183432,5.027625
-120.2319744525616,34.47189965157449,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,98,109,93,150,0.2096774193548387,2020,5,143,0.0,132.6568,5.230905,122.07101,4.8685613,111.33136,4.916807,132.18343,5.0836635,0.0,4.3880386
