,itemid,processed,reason,process_time
0,ca_m_3412028_sw_10_1_20140926_20150115,Y,processed,20.25700283050537
1,ca_m_3412027_se_10_1_20140926_20150115,Y,processed,12.474581480026245
2,ca_m_3412027_ne_10_1_20140926_20150115,Y,processed,14.885331392288208
3,ca_m_3412020_sw_10_1_20140926_20150115,Y,processed,11.564091444015503
4,ca_m_3412020_nw_10_1_20140926_20150115,Y,processed,11.69059133529663
5,ca_m_3412019_se_10_1_20140926_20150115,Y,processed,12.642886400222778
6,ca_m_3412019_ne_10_1_20140926_20150115,Y,processed,12.271665573120117
7,ca_m_3412012_sw_10_1_20140926_20150115,Y,processed,10.38838505744934
8,ca_m_3412012_nw_10_1_20140926_20150115,Y,processed,11.838656902313232
9,ca_m_3412011_se_10_1_20140926_20150115,Y,processed,14.98252248764038
10,ca_m_3412011_ne_10_1_20140926_20150115,Y,processed,13.183604717254639
11,ca_m_3412004_sw_10_1_20140926_20150115,Y,processed,11.394052982330322
12,ca_m_3412003_se_10_1_20140926_20150115,Y,processed,23.781866550445557
13,ca_m_3412003_ne_10_1_20140926_20141030,Y,processed,21.685056447982788
14,ca_m_3412028_se_10_1_20140924_20150115,Y,processed,17.364952087402344
15,ca_m_3412028_nw_10_1_20140924_20150115,N,no data in intersection,0.0
16,ca_m_3411936_se_11_1_20140901_20141030,Y,processed,37.242589712142944
17,ca_m_3411936_sw_11_1_20140817_20141030,Y,processed,34.65057921409607
18,ca_m_3411935_se_11_1_20140817_20141030,Y,processed,32.1002676486969
19,ca_m_3412039_nw_10_1_20140603_20141030,Y,processed,34.78372645378113
20,ca_m_3412039_ne_10_1_20140603_20141030,Y,processed,32.3532018661499
21,ca_m_3412038_nw_10_1_20140603_20141030,Y,processed,29.9117591381073
22,ca_m_3412038_ne_10_1_20140603_20141030,Y,processed,29.568618535995483
23,ca_m_3412037_nw_10_1_20140603_20141030,Y,processed,40.32509231567383
24,ca_m_3412037_ne_10_1_20140603_20141030,Y,processed,31.99951934814453
25,ca_m_3412029_sw_10_1_20140603_20150115,Y,processed,11.0277578830719
26,ca_m_3412028_ne_10_1_20140603_20150115,N,no data in intersection,0.0
27,ca_m_3411933_sw_11_1_20140603_20141030,Y,processed,24.803237199783325
28,ca_m_3411945_nw_11_1_20140602_20141030,Y,processed,11.098135232925415
29,ca_m_3411937_sw_11_1_20140602_20141030,Y,processed,25.111591577529907
30,ca_m_3412040_nw_10_1_20140601_20141030,Y,processed,30.39688801765442
31,ca_m_3412040_ne_10_1_20140601_20141030,Y,processed,34.36658215522766
32,ca_m_3411935_sw_11_1_20140601_20141030,Y,processed,33.74323654174805
33,ca_m_3411934_sw_11_1_20140601_20141030,Y,processed,29.253050804138184
34,ca_m_3411934_se_11_1_20140601_20141030,Y,processed,34.24874973297119
35,ca_m_3411933_se_11_1_20140601_20141030,Y,processed,31.89972949028015
36,ca_m_3411933_nw_11_1_20140601_20141030,Y,processed,34.821829319000244
37,ca_m_3411933_ne_11_1_20140601_20141030,Y,processed,21.797964811325073
