id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
9690546,2018/01/19 11:48 AM CST,2018-01-19,2018-01-19 17:48:00 UTC,Central Time (US & Canada),751146,e_mota,2018-02-01 06:10:08 UTC,2018-10-03 23:22:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9690546,https://inaturalist-open-data.s3.amazonaws.com/photos/13249809/medium.jpeg,,"","I saw this by a public beach in California, the North Pacific Ocean. ",1,0,false,,"Carpinteria, CA, USA",34.3930583333,-119.5238944444,,,,,,,,false,,"",sea-fig,Carpobrotus edulis,sea fig,Plantae,49322
9812414,Sat Feb 10 2018 10:34:57 GMT-0800 (PST),2018-02-10,2018-02-10 18:34:57 UTC,Pacific Time (US & Canada),762209,nivi,2018-02-10 18:35:03 UTC,2018-02-11 20:02:02 UTC,research,,https://www.inaturalist.org/observations/9812414,https://static.inaturalist.org/photos/13428690/medium.jpg,,"",,1,0,false,3,"Universidad de California, Santa Bárbara, Santa Bárbara, CA, US",34.4060681256,-119.8459651617,8,,,,8,,,false,,,sea-fig,Carpobrotus edulis,sea fig,Plantae,49322
9813315,Sat Feb 10 2018 11:53:46 GMT-0800 (PST),2018-02-10,2018-02-10 19:53:46 UTC,Pacific Time (US & Canada),759256,smchugh_ucsb,2018-02-10 19:55:30 UTC,2018-02-11 20:37:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9813315,https://inaturalist-open-data.s3.amazonaws.com/photos/13430119/medium.jpg,,"",,2,1,false,3,"UCSB, Santa Barbara, CA, US",34.4067410985,-119.8485772033,5,,,,5,,,false,,,sea-fig,Carpobrotus edulis,sea fig,Plantae,49322
9813756,Sat Feb 10 2018 10:34:12 GMT-0800 (PST),2018-02-10,2018-02-10 18:34:12 UTC,Pacific Time (US & Canada),752606,burr_m,2018-02-10 20:43:53 UTC,2018-02-11 20:10:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9813756,https://inaturalist-open-data.s3.amazonaws.com/photos/13430832/medium.jpg,,"",,1,0,false,3,"UCSB, Santa Barbara, CA, US",34.4061243581,-119.846000271,5,,,,5,,,false,,,sea-fig,Carpobrotus edulis,sea fig,Plantae,49322
9813866,Sat Feb 10 2018 11:55:12 GMT-0800 (PST),2018-02-10,2018-02-10 19:55:12 UTC,Pacific Time (US & Canada),751716,ramon_evelyn,2018-02-10 20:47:50 UTC,2021-09-02 15:07:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9813866,https://inaturalist-open-data.s3.amazonaws.com/photos/13431032/medium.jpg,,"",,1,0,false,3,"UCSB, Santa Barbara, CA, US",34.406794156,-119.8486336974,5,,,,5,,,false,,,sea fig,Carpobrotus edulis,sea fig,Plantae,49322
9814129,2018-02-10 11:55:04 AM PST,2018-02-10,2018-02-10 19:55:04 UTC,Pacific Time (US & Canada),755195,jasso_j,2018-02-10 20:57:02 UTC,2021-09-02 15:07:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9814129,https://inaturalist-open-data.s3.amazonaws.com/photos/13431550/medium.jpeg,,"",,1,0,false,2,"Santa Barbara County, US-CA, US",34.4067268372,-119.8485031128,,,,,,,,false,gps,gps,sea fig,Carpobrotus edulis,sea fig,Plantae,49322
9814504,Sat Feb 10 2018 11:17:39 GMT-0800 (PST),2018-02-10,2018-02-10 19:17:39 UTC,Pacific Time (US & Canada),759086,graves_bi,2018-02-10 21:27:46 UTC,2021-09-02 15:06:58 UTC,research,,https://www.inaturalist.org/observations/9814504,https://static.inaturalist.org/photos/13432299/medium.jpg,,"",,2,0,false,3,"UCSB, Santa Barbara, CA, US",34.406110067,-119.845931288,5,,,,5,,,false,,,sea fig,Carpobrotus edulis,sea fig,Plantae,49322
12558654,Thu May 17 2018 15:36:05 GMT-0700 (PDT),2018-05-17,2018-05-17 22:36:05 UTC,Pacific Time (US & Canada),116732,rrcreech52,2018-05-17 22:36:22 UTC,2018-05-18 03:32:39 UTC,research,CC0,https://www.inaturalist.org/observations/12558654,https://inaturalist-open-data.s3.amazonaws.com/photos/18143708/medium.jpg,,"",,1,0,false,3,"1366–1398 E Cabrillo Blvd, Santa Barbara, CA, US",34.4170952257,-119.6674262693,10,,,,10,,,false,,,sea-fig,Carpobrotus edulis,sea fig,Plantae,49322
12592735,Fri May 18 2018 15:48:12 GMT-0700 (PDT),2018-05-18,2018-05-18 22:48:12 UTC,Pacific Time (US & Canada),614085,mjandersen,2018-05-19 01:39:30 UTC,2018-05-19 06:13:32 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/12592735,https://inaturalist-open-data.s3.amazonaws.com/photos/18202010/medium.jpg,,"",,1,0,false,3,"1118 E Cabrillo Blvd, Santa Barbara, CA, US",34.4167883333,-119.6707,10,,,,10,,,false,,,sea-fig,Carpobrotus edulis,sea fig,Plantae,49322
12692926,Mon May 21 2018 16:47:36 GMT-0700 (PDT),2018-05-21,2018-05-21 23:47:36 UTC,Pacific Time (US & Canada),771340,maggie_zielinski,2018-05-21 23:47:43 UTC,2021-09-02 15:16:15 UTC,research,,https://www.inaturalist.org/observations/12692926,https://static.inaturalist.org/photos/18375818/medium.jpg,,"",,2,0,false,3,"1101–1299 Channel Dr, Santa Barbara, CA, US",34.4172097184,-119.6457278543,10,,,,10,,,false,,,sea fig,Carpobrotus edulis,sea fig,Plantae,49322
